id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25352,268021,2340806,2.0,,9999,1 6 oz container,60039,170.0
25353,268022,2340806,3.0,,9999,"1 container, NFS",60598,170.0
25354,268023,2340806,4.0,,9999,1 cup,10205,245.0
25355,268024,2340806,10.0,,9999,Quantity not specified,90000,170.0
25356,268025,2340807,1.0,,9999,1 4 oz container,64638,113.0
25357,268026,2340807,2.0,,9999,1 6 oz container,60039,170.0
25358,268027,2340807,3.0,,9999,"1 container, NFS",60598,170.0
25359,268028,2340807,4.0,,9999,1 cup,10205,245.0
25360,268029,2340807,8.0,,9999,Quantity not specified,90000,170.0
25361,268030,2340808,1.0,,9999,1 tube,64066,64.0
25362,268031,2340808,2.0,,9999,1 4 oz container,64638,113.0
25363,268032,2340808,3.0,,9999,1 6 oz container,60039,170.0
25364,268033,2340808,4.0,,9999,"1 container, NFS",60598,170.0
25365,268034,2340808,5.0,,9999,1 cup,10205,245.0
25366,268035,2340808,12.0,,9999,Quantity not specified,90000,170.0
25367,268036,2340809,1.0,,9999,1 4 oz container,64638,113.0
25368,268037,2340809,2.0,,9999,1 6 oz container,60039,170.0
25369,268038,2340809,3.0,,9999,"1 container, NFS",60598,170.0
25370,268039,2340809,4.0,,9999,1 cup,10205,245.0
25371,268040,2340809,8.0,,9999,Quantity not specified,90000,170.0
25372,268041,2340810,1.0,,9999,1 5.3 oz container,64562,150.0
25373,268042,2340810,2.0,,9999,1 6 oz container,60039,170.0
25374,268043,2340810,3.0,,9999,"1 container, NFS",60598,150.0
25375,268044,2340810,4.0,,9999,1 cup,10205,245.0
25376,268045,2340810,5.0,,9999,Quantity not specified,90000,150.0
25377,268046,2340811,1.0,,9999,1 5.3 oz container,64562,150.0
25378,268047,2340811,2.0,,9999,1 6 oz container,60039,170.0
25379,268048,2340811,3.0,,9999,"1 container, NFS",60598,150.0
25380,268049,2340811,4.0,,9999,1 cup,10205,245.0
25381,268050,2340811,6.0,,9999,Quantity not specified,90000,150.0
25382,268051,2340812,1.0,,9999,1 tube,64066,57.0
25383,268052,2340812,2.0,,9999,1 5.3 oz container,64562,150.0
25384,268053,2340812,3.0,,9999,1 6 oz container,60039,170.0
25385,268054,2340812,4.0,,9999,"1 container, NFS",60598,150.0
25386,268055,2340812,5.0,,9999,1 cup,10205,245.0
25387,268056,2340812,7.0,,9999,Quantity not specified,90000,150.0
25388,268057,2340813,1.0,,9999,1 5.3 oz container,64562,150.0
25389,268058,2340813,2.0,,9999,1 6 oz container,60039,170.0
25390,268059,2340813,3.0,,9999,"1 container, NFS",60598,150.0
25391,268060,2340813,4.0,,9999,1 cup,10205,245.0
25392,268061,2340813,6.0,,9999,Quantity not specified,90000,150.0
25393,268062,2340814,1.0,,9999,1 4 oz container,64638,113.0
25394,268063,2340814,2.0,,9999,1 6 oz container,60039,170.0
25395,268064,2340814,3.0,,9999,"1 container, NFS",60598,170.0
