id,fdc_id,nutrient_id,amount
743,172182.0,1162,0.0
744,328841.0,1165,0.02
745,328841.0,1166,0.234
746,328841.0,1167,0.09
747,328841.0,1175,0.057
748,328841.0,1177,10.0
749,328841.0,1178,0.42
750,172182.0,1180,16.3
751,172182.0,1185,0.0
757,328841.0,1253,12.0
758,328841.0,1258,1.26
771,328841.0,1272,0.0
775,328841.0,1278,0.001
778,328841.0,1292,0.469
779,328841.0,1293,0.072
780,173417.0,1003,12.39
781,173417.0,1004,1.02
782,173417.0,1005,2.72
783,173417.0,1008,72.0
785,173417.0,1051,82.48
789,173417.0,1079,0.0
790,173417.0,1087,61.0
791,173417.0,1089,0.14
792,173417.0,1090,5.0
793,173417.0,1091,134.0
794,173417.0,1092,86.0
795,173417.0,1093,406.0
796,173417.0,1095,0.38
797,173417.0,1098,0.028
798,173417.0,1103,9.0
800,173417.0,1106,11.0
803,173417.0,1109,0.01
804,173417.0,1114,0.0
806,173417.0,1122,0.0
807,173417.0,1123,0.0
808,173417.0,1162,0.0
809,173417.0,1165,0.021
810,173417.0,1166,0.165
811,173417.0,1167,0.128
812,173417.0,1175,0.068
813,173417.0,1177,12.0
814,173417.0,1178,0.63
815,173417.0,1180,17.5
816,173417.0,1185,0.1
820,173417.0,1242,0.0
821,173417.0,1246,0.0
822,173417.0,1253,4.0
823,173417.0,1258,0.645
836,173417.0,1272,0.0
840,173417.0,1278,0.0
843,173417.0,1292,0.291
844,173417.0,1293,0.031
845,173418.0,1003,6.15
846,173418.0,1004,34.44
847,173418.0,1005,5.52
848,173418.0,1008,350.0
850,173418.0,1051,52.62
854,173418.0,1079,0.0
855,173418.0,1087,97.0
856,173418.0,1089,0.11
857,173418.0,1090,9.0
858,173418.0,1091,107.0
859,173418.0,1092,132.0
860,173418.0,1093,314.0
861,173418.0,1095,0.5
862,173418.0,1098,0.018
863,173418.0,1103,8.6
865,173418.0,1106,308.0
868,173418.0,1109,0.86
869,173418.0,1114,0.0
871,173418.0,1122,0.0
872,173418.0,1123,7.0
873,173418.0,1162,0.0
874,173418.0,1165,0.023
875,173418.0,1166,0.23
876,173418.0,1167,0.091
877,173418.0,1175,0.056
878,173418.0,1177,9.0
879,173418.0,1178,0.22
880,173418.0,1180,26.8
881,173418.0,1185,2.1
885,173418.0,1242,0.0
886,173418.0,1246,0.0
887,173418.0,1253,101.0
888,173418.0,1258,20.213
901,173418.0,1272,0.0
905,173418.0,1278,0.01
908,173418.0,1292,8.907
909,173418.0,1293,1.483
910,173420.0,1003,14.21
911,173420.0,1004,21.49
912,173420.0,1005,3.88
913,173420.0,1008,265.0
915,173420.0,1051,55.22
919,173420.0,1079,0.0
920,173420.0,1087,493.0
921,173420.0,1089,0.65
922,173420.0,1090,19.0
923,173420.0,1091,337.0
924,173420.0,1092,62.0
925,173420.0,1093,1139.0
926,173420.0,1095,2.88
927,173420.0,1098,0.032
928,173420.0,1103,15.0
930,173420.0,1106,125.0
933,173420.0,1109,0.18
934,173420.0,1114,0.4
936,173420.0,1122,0.0
937,173420.0,1123,0.0
938,173420.0,1162,0.0
939,173420.0,1165,0.154
940,173420.0,1166,0.844
941,173420.0,1167,0.991
942,173420.0,1175,0.424
943,173420.0,1177,32.0
944,173420.0,1178,1.69
945,173420.0,1180,15.4
946,173420.0,1185,1.8
950,173420.0,1242,0.0
951,173420.0,1246,0.0
952,173420.0,1253,89.0
953,173420.0,1258,13.3
966,173420.0,1272,0.0
970,173420.0,1278,0.0
973,173420.0,1292,4.623
974,173420.0,1293,0.591
975,170843.0,1003,25.6
976,170843.0,1004,31.14
977,170843.0,1005,1.55
978,170843.0,1008,389.0
980,170843.0,1051,37.92
984,170843.0,1079,0.0
985,170843.0,1087,550.0
986,170843.0,1089,0.23
987,170843.0,1090,14.0
988,170843.0,1091,346.0
989,170843.0,1092,64.0
990,170843.0,1093,800.0
991,170843.0,1095,3.5
992,170843.0,1098,0.025
993,170843.0,1103,14.5
995,170843.0,1106,261.0
998,170843.0,1109,0.27
999,170843.0,1114,0.6
1001,170843.0,1122,0.0
1002,170843.0,1123,0.0
1003,170843.0,1162,0.0
1004,170843.0,1165,0.021
1005,170843.0,1166,0.204
1006,170843.0,1167,0.15
1007,170843.0,1175,0.083
1008,170843.0,1177,6.0
1009,170843.0,1178,1.68
1010,170843.0,1180,15.4
1011,170843.0,1185,2.6
1015,170843.0,1242,0.0
1016,170843.0,1246,0.0
1017,170843.0,1253,116.0
1018,170843.0,1258,19.196
1031,170843.0,1272,0.0
1035,170843.0,1278,0.0
1038,170843.0,1292,8.687
1039,170843.0,1293,1.654
1040,171241.0,1003,24.94
1041,171241.0,1004,27.44
1042,171241.0,1005,2.22
1043,171241.0,1008,356.0
1045,171241.0,1051,41.46
1049,171241.0,1079,0.0
1050,171241.0,1087,700.0
1051,171241.0,1089,0.24
1052,171241.0,1090,29.0
1053,171241.0,1091,546.0
1054,171241.0,1092,121.0
1055,171241.0,1093,819.0
1056,171241.0,1095,3.9
1057,171241.0,1098,0.036
1058,171241.0,1103,14.5
1060,171241.0,1106,165.0
1063,171241.0,1109,0.24
1064,171241.0,1114,0.5
1066,171241.0,1122,0.0
1067,171241.0,1123,0.0
1068,171241.0,1162,0.0
1069,171241.0,1165,0.03
1070,171241.0,1166,0.334
1071,171241.0,1167,0.063
1072,171241.0,1175,0.08
1073,171241.0,1177,21.0
1074,171241.0,1178,1.54
1075,171241.0,1180,15.4
1076,171241.0,1185,2.3
1080,171241.0,1242,0.0
1081,171241.0,1246,0.0
1082,171241.0,1253,114.0
1083,171241.0,1258,17.614
1096,171241.0,1272,0.0
1100,171241.0,1278,0.0
1103,171241.0,1292,7.747
1104,171241.0,1293,0.657
1105,171242.0,1003,29.81
